Name,Description,AUC,F1score,Accuracy,crossfoldScore,Path,Importances
KNN,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.9316239316239315,0.8125000000000001,0.85,None,./models/knn.pkl,"{'names': {1: 'RgStart', 3: 'negativeFasta', 4: 'positiveFasta', 5: 'negativepH', 6: 'positivepH', 2: 'RMSF', 0: 'RgHist'}, 'importances': {1: -0.02608695652173898, 3: 0.0, 4: 0.0, 5: 0.01798418972332021, 6: 0.01798418972332021, 2: 0.04802371541501982, 0: 0.28933014354067}}"
SVM,"{'C': 10000, 'gamma': 0.01, 'kernel': 'rbf'}",0.9373219373219374,0.8461538461538461,0.9,None,./models/svm.pkl,"{'names': {2: 'RMSF', 1: 'RgStart', 3: 'negativeFasta', 4: 'positiveFasta', 5: 'negativepH', 6: 'positivepH', 0: 'RgHist'}, 'importances': {2: -0.043346508563899745, 1: -0.03320158102766786, 3: 0.0, 4: 0.0, 5: 0.024242424242424267, 6: 0.024242424242424267, 0: 0.5104347826086958}}"
Random Forest,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.8632478632478633,0.8333333333333333,0.9,None,./models/rf_model.pkl,"{'names': {2: 'RMSF', 3: 'negativeFasta', 4: 'positiveFasta', 5: 'negativepH', 1: 'RgStart', 6: 'positivepH', 0: 'RgHist'}, 'importances': {2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 1: 0.0009222661396574017, 6: 0.011067193675889287, 0: 0.534387351778656}}"
Decision Tree,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",0.8433048433048433,0.8333333333333333,0.9,None,./models/dt_model.pkl,"{'names': {1: 'RgStart', 3: 'negativeFasta', 4: 'positiveFasta', 6: 'positivepH', 2: 'RMSF', 5: 'negativepH', 0: 'RgHist'}, 'importances': {1: -0.030434782608695653, 3: 0.0, 4: 0.0, 6: 0.0, 2: 0.03320158102766786, 5: 0.15102974828375276, 0: 0.5492053343076361}}"
SVM,"{'C': 10000, 'gamma': 0.01, 'kernel': 'rbf'}",0.9373219373219374,0.888888888888889,0.925,None,./models/test.pkl,"{'names': {1: 'RgStart', 3: 'negativeFasta', 4: 'positiveFasta', 5: 'negativepH', 6: 'positivepH', 2: 'RMSF', 0: 'RgHist'}, 'importances': {1: -0.0756258234519102, 3: 0.0, 4: 0.0, 5: 0.024242424242424267, 6: 0.024242424242424267, 2: 0.0363636363636364, 0: 0.4129870129870131}}"
DLModel,"{'activationHidden': 'sigmoid', 'batch_size': 30, 'epochs': 1000, 'loss': 'mse', 'numHiddenLayers': 3, 'numHiddenNodes': 10, 'rate': 0.01}",0.9401709401709402,0.8799999999999999,0.925,None,"lost but can recreate",
SVM,"{'C': 10000, 'gamma': 0.01, 'kernel': 'rbf'}",0.9373219373219374,0.888888888888889,0.925,0.8546902372989329,./models/svmCrossVal.pkl,"{'names': {1: 'RgStart', 3: 'negativeFasta', 4: 'positiveFasta', 2: 'RMSF', 5: 'negativepH', 6: 'positivepH', 0: 'RgHist'}, 'importances': {1: -0.05533596837944643, 3: 0.0, 4: 0.0, 2: 0.013175230566534978, 5: 0.04848484848484853, 6: 0.04848484848484853, 0: 0.4776623376623378}}"
DLModel,"{'activationHidden': 'relu', 'batch_size': 20, 'epochs': 100, 'loss': 'mse', 'numHiddenLayers': 4, 'numHiddenNodes': 12, 'rate': 0.01}",0.9316239316239316,0.8333333333333333,0.9,0.8727994227994228,./models/DLTuned.pkl,"{'names': {5: 'negativepH', 3: 'negativeFasta', 4: 'positiveFasta', 2: 'RMSF', 6: 'positivepH', 1: 'RgStart', 0: 'RgHist'}, 'importances': {5: -0.009333333333333327, 3: 0.0, 4: 0.0, 2: 0.02028985507246377, 6: 0.08484848484848469, 1: 0.08590250329380753, 0: 0.44716732542819493}}"
DLModel,"{'activationHidden': 'relu', 'batch_size': 30, 'epochs': 100, 'loss': 'binary_crossentropy', 'numHiddenLayers': 3, 'numHiddenNodes': 10, 'rate': 0.01}",0.9316239316239316,0.7272727272727274,0.85,0.8547619047619048,./models/DLTuned2.pkl,"{'names': {5: 'negativepH', 2: 'RMSF', 3: 'negativeFasta', 4: 'positiveFasta', 1: 'RgStart', 6: 'positivepH', 0: 'RgHist'}, 'importances': {5: -0.06455862977602092, 2: -0.022134387351778573, 3: 0.0, 4: 0.0, 1: 0.0010540184453228462, 6: 0.20423179160021282, 0: 0.46320346320346334}}"
Decision Tree,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",0.8603988603988604,0.8333333333333333,0.9,0.8279710144927535,./models/dt2.pkl,"{'names': {2: 'RMSF', 3: 'negativeFasta', 4: 'positiveFasta', 6: 'positivepH', 1: 'RgStart', 5: 'negativepH', 0: 'RgHist'}, 'importances': {2: 0.0, 3: 0.0, 4: 0.0, 6: 0.0, 1: 0.0009222661396574017, 5: 0.280157715260017, 0: 0.5604609019254327}}"
