,isFolded
38,False
5,True
66,True
39,True
5,True
71,False
98,True
12,False
12,True
35,True
86,False
42,True
67,True
94,True
75,False
95,True
78,True
29,True
60,False
63,True
51,True
69,False
38,True
31,True
97,False
73,False
41,True
65,False
90,False
26,True
40,False
90,True
1,False
2,True
46,False
36,True
96,False
33,True
36,True
23,False
22,False
49,False
47,False
33,True
11,True
28,True
77,False
6,True
27,True
10,False
4,False
32,True
93,False
44,False
85,False
43,False
10,False
62,True
2,False
45,False
0,True
78,False
83,False
70,False
13,False
64,False
44,True
29,False
28,True
40,False
19,False
54,False
55,False
25,True
23,True
81,False
46,False
81,False
9,True
79,False
84,True
39,True
61,True
21,False
24,False
86,True
77,False
93,False
67,False
47,True
94,True
53,True
43,True
37,True
3,True
6,False
53,True
34,True
79,False
56,False
84,False
49,True
80,True
34,True
7,False
11,False
91,True
83,True
75,False
97,False
89,True
8,True
13,True
59,True
70,True
32,False
17,True
72,False
74,False
35,False
66,False
82,False
63,True
54,True
8,False
50,True
95,False
58,True
48,True
88,True
21,True
57,False
61,False
91,False
30,True
37,True
58,False
87,False
1,True
52,True
50,False
31,True
52,False
4,True
0,True
17,False
87,True
74,True
22,False
98,True
20,False
89,False
71,False
7,False
14,True
92,True
80,False
3,False
